problem_id,rules_text,reaction_state,option_A,option_B,option_C,option_D,answer
2042,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If exactly 3 mechanisms remain, eliminate Delta elimination.
2. If (zeta_affinity < 1 OR (polarity > 0.65 AND steric_factor < 1)), Rule 0 is overridden.
3. If (sigma_density < 2 AND polarity > 0.588), Rule 2 is overridden.
4. If thermal_index < 75, Gamma rearrangement dominates Delta elimination.
5. If NOT (steric_factor > 5), dominance between Alpha transformation and Delta elimination is reversed.
6. If ((sigma_density > 1 OR sigma_density > 7) OR NOT (polarity > 0.099)), Delta elimination is blocked.
7. If thermal_index > 70, Rule 2 is overridden.
8. If thermal_index > 91, dominance between Delta elimination and Alpha transformation is reversed.
9. If exactly 3 mechanisms remain, eliminate Alpha transformation.","sigma_density=0, steric_factor=1, polarity=0.993, thermal_index=68, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2043,"0. If exactly 2 mechanisms remain, eliminate Alpha transformation.
1. If NOT (polarity < 0.314), Gamma rearrangement is blocked.
2. If exactly 2 mechanisms remain, eliminate Alpha transformation.
3. If ((steric_factor < 3 OR NOT (zeta_affinity > 5)) AND (NOT (steric_factor > 3) AND NOT (sigma_density < 8))), Alpha transformation dominates Beta displacement.
4. If polarity < 0.948, Beta displacement dominates Gamma rearrangement.
5. If zeta_affinity > 2, Beta displacement dominates Gamma rearrangement.
6. If (polarity > 0.83 OR (polarity < 0.585 AND polarity < 0.534)), dominance between Delta elimination and Alpha transformation is reversed.
7. If NOT (sigma_density < 4), Beta displacement dominates Gamma rearrangement.
8. If ((steric_factor < 4 OR NOT (polarity > 0.603)) OR (NOT (zeta_affinity < 2) OR steric_factor < 1)), Rule 0 is overridden.
9. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=5, steric_factor=3, polarity=0.516, thermal_index=11, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
2044,"0. If ((polarity < 0.916 OR thermal_index < 83) OR (sigma_density < 2 AND NOT (steric_factor > 3))), Delta elimination dominates Alpha transformation.
1. If exactly 2 mechanisms remain, eliminate Alpha transformation.
2. If NOT (sigma_density > 7), Gamma rearrangement is blocked.
3. If polarity > 0.632, Beta displacement is activated.
4. If zeta_affinity > 7, dominance between Alpha transformation and Beta displacement is reversed.
5. If exactly 3 mechanisms remain, eliminate Delta elimination.
6. If ((thermal_index > 98 OR polarity < 0.666) AND polarity > 0.573), Gamma rearrangement is activated.
7. If ((thermal_index > 85 OR zeta_affinity < 10) OR thermal_index > 57), Delta elimination is blocked.
8. If NOT (thermal_index > 26), Delta elimination dominates Beta displacement.","sigma_density=0, steric_factor=3, polarity=0.801, thermal_index=22, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
2045,"0. If exactly 3 mechanisms remain, eliminate Alpha transformation.
1. If exactly 2 mechanisms remain, eliminate Delta elimination.
2. If exactly 2 mechanisms remain, eliminate Beta displacement.
3. If exactly 2 mechanisms remain, eliminate Beta displacement.
4. If (polarity < 0.98 OR (NOT (zeta_affinity > 10) OR sigma_density > 9)), Delta elimination is blocked.
5. If (NOT (steric_factor < 4) AND (polarity > 0.181 OR polarity > 0.849)), dominance between Delta elimination and Beta displacement is reversed.
6. If ((NOT (steric_factor > 0) AND NOT (polarity > 0.639)) AND (thermal_index < 17 OR steric_factor > 1)), Alpha transformation is blocked.
7. If exactly 2 mechanisms remain, eliminate Delta elimination.","sigma_density=3, steric_factor=0, polarity=0.986, thermal_index=7, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2046,"0. If ((sigma_density > 8 AND polarity > 0.233) OR (NOT (steric_factor > 0) AND zeta_affinity > 8)), Delta elimination dominates Beta displacement.
1. If zeta_affinity > 1, Beta displacement is activated.
2. If ((steric_factor < 2 AND thermal_index < 87) OR (thermal_index > 45 OR polarity < 0.509)), Delta elimination is blocked.
3. If (NOT (zeta_affinity > 10) AND polarity < 0.98), Beta displacement dominates Gamma rearrangement.
4. If zeta_affinity < 0, Alpha transformation is activated.
5. If exactly 2 mechanisms remain, eliminate Alpha transformation.
6. If ((sigma_density < 8 OR NOT (sigma_density < 2)) OR polarity < 0.118), Rule 3 is overridden.
7. If exactly 2 mechanisms remain, eliminate Delta elimination.
8. If (zeta_affinity > 9 OR NOT (steric_factor < 0)), Rule 5 is overridden.
9. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=2, steric_factor=5, polarity=0.443, thermal_index=74, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
2047,"0. If polarity < 0.758, Alpha transformation is blocked.
1. If thermal_index > 38, Rule 0 is overridden.
2. If (NOT (polarity > 0.722) OR (steric_factor < 0 OR thermal_index < 47)), Beta displacement is blocked.
3. If exactly 2 mechanisms remain, eliminate Delta elimination.
4. If (sigma_density > 10 OR (NOT (steric_factor > 2) OR NOT (sigma_density > 10))), Delta elimination is blocked.
5. If zeta_affinity < 3, Gamma rearrangement dominates Delta elimination.
6. If polarity < 0.124, Beta displacement is activated.
7. If zeta_affinity > 1, Rule 5 is overridden.
8. If ((sigma_density > 4 AND NOT (polarity < 0.854)) OR zeta_affinity < 6), Beta displacement dominates Alpha transformation.
9. If thermal_index > 9, Alpha transformation is activated.","sigma_density=5, steric_factor=2, polarity=0.151, thermal_index=8, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2049,"0. If zeta_affinity < 6, Beta displacement dominates Alpha transformation.
1. If steric_factor > 3, Alpha transformation is blocked.
2. If NOT (zeta_affinity < 9), dominance between Beta displacement and Gamma rearrangement is reversed.
3. If ((NOT (zeta_affinity > 8) AND NOT (sigma_density > 6)) OR (sigma_density < 2 OR thermal_index < 49)), Gamma rearrangement dominates Delta elimination.
4. If sigma_density < 9, Alpha transformation is blocked.
5. If thermal_index > 19, dominance between Beta displacement and Gamma rearrangement is reversed.
6. If ((steric_factor < 5 OR zeta_affinity > 2) OR (sigma_density > 0 AND zeta_affinity > 1)), Delta elimination is activated.
7. If steric_factor < 2, dominance between Beta displacement and Gamma rearrangement is reversed.
8. If exactly 1 mechanisms remain, eliminate Beta displacement.
9. If steric_factor > 1, Beta displacement dominates Alpha transformation.
10. If ((sigma_density < 10 AND polarity < 0.954) OR (polarity > 0.166 AND NOT (polarity < 0.138))), dominance between Beta displacement and Alpha transformation is reversed.
11. If exactly 3 mechanisms remain, eliminate Alpha transformation.","sigma_density=0, steric_factor=5, polarity=0.898, thermal_index=45, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2051,"0. If ((zeta_affinity < 0 OR polarity > 0.455) AND NOT (thermal_index > 58)), Delta elimination dominates Gamma rearrangement.
1. If polarity < 0.527, Delta elimination is blocked.
2. If (NOT (zeta_affinity > 3) OR NOT (polarity < 0.25)), Alpha transformation dominates Beta displacement.
3. If (steric_factor > 4 AND thermal_index > 73), Rule 2 is overridden.
4. If thermal_index < 25, Alpha transformation dominates Beta displacement.
5. If sigma_density > 5, Delta elimination is activated.
6. If ((thermal_index > 13 OR steric_factor > 3) AND thermal_index > 86), Delta elimination is activated.
7. If NOT (sigma_density > 6), Rule 4 is overridden.
8. If polarity < 0.344, dominance between Alpha transformation and Delta elimination is reversed.
9. If exactly 2 mechanisms remain, eliminate Alpha transformation.
10. If ((sigma_density < 8 AND sigma_density < 4) OR thermal_index > 93), Delta elimination is blocked.","sigma_density=2, steric_factor=5, polarity=0.629, thermal_index=73, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2052,"0. If exactly 1 mechanisms remain, eliminate Beta displacement.
1. If exactly 3 mechanisms remain, eliminate Delta elimination.
2. If ((zeta_affinity > 5 AND NOT (thermal_index > 30)) OR NOT (thermal_index > 20)), Alpha transformation dominates Beta displacement.
3. If exactly 2 mechanisms remain, eliminate Delta elimination.
4. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
5. If (zeta_affinity > 4 OR NOT (polarity > 0.815)), Rule 1 is overridden.
6. If ((thermal_index > 78 OR zeta_affinity < 6) OR thermal_index < 4), dominance between Beta displacement and Gamma rearrangement is reversed.
7. If zeta_affinity < 0, Beta displacement is activated.
8. If steric_factor < 3, Beta displacement is blocked.
9. If (zeta_affinity > 2 OR (NOT (steric_factor > 1) OR polarity < 0.595)), dominance between Beta displacement and Gamma rearrangement is reversed.
10. If steric_factor > 5, Gamma rearrangement is activated.","sigma_density=7, steric_factor=2, polarity=0.811, thermal_index=33, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
2054,"0. If ((polarity > 0.784 OR thermal_index > 63) AND thermal_index < 83), Gamma rearrangement dominates Alpha transformation.
1. If thermal_index < 40, Delta elimination is activated.
2. If exactly 3 mechanisms remain, eliminate Alpha transformation.
3. If exactly 3 mechanisms remain, eliminate Beta displacement.
4. If (zeta_affinity > 2 AND (sigma_density < 8 AND polarity > 0.404)), Alpha transformation is activated.
5. If thermal_index > 28, Gamma rearrangement dominates Alpha transformation.
6. If exactly 1 mechanisms remain, eliminate Beta displacement.
7. If thermal_index > 84, Gamma rearrangement dominates Beta displacement.
8. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
9. If (sigma_density > 8 OR (polarity > 0.799 OR thermal_index < 77)), Delta elimination is activated.","sigma_density=4, steric_factor=2, polarity=0.815, thermal_index=2, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2055,"0. If (polarity > 0.525 AND (zeta_affinity < 0 AND thermal_index > 33)), Gamma rearrangement is activated.
1. If (zeta_affinity > 6 AND NOT (zeta_affinity < 0)), Delta elimination dominates Gamma rearrangement.
2. If ((sigma_density < 5 OR steric_factor > 4) AND (steric_factor > 2 OR polarity < 0.604)), Alpha transformation is activated.
3. If exactly 3 mechanisms remain, eliminate Beta displacement.
4. If ((thermal_index > 94 AND steric_factor > 4) OR thermal_index > 53), Alpha transformation is blocked.
5. If ((zeta_affinity > 6 AND NOT (zeta_affinity < 9)) AND (steric_factor > 2 OR zeta_affinity < 2)), Gamma rearrangement is activated.
6. If exactly 3 mechanisms remain, eliminate Alpha transformation.
7. If exactly 2 mechanisms remain, eliminate Alpha transformation.
8. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
9. If (thermal_index > 22 AND (zeta_affinity < 5 OR zeta_affinity > 6)), Delta elimination is blocked.","sigma_density=3, steric_factor=2, polarity=0.973, thermal_index=48, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2056,"0. If ((NOT (sigma_density < 0) OR thermal_index < 94) AND (sigma_density < 5 AND NOT (zeta_affinity < 1))), Gamma rearrangement dominates Alpha transformation.
1. If (NOT (sigma_density < 4) OR (sigma_density < 8 OR thermal_index > 20)), Delta elimination is blocked.
2. If (NOT (zeta_affinity < 9) AND (zeta_affinity > 2 AND polarity < 0.702)), Delta elimination is blocked.
3. If NOT (polarity < 0.066), dominance between Beta displacement and Delta elimination is reversed.
4. If (NOT (polarity < 0.402) OR thermal_index < 19), Alpha transformation is blocked.
5. If NOT (polarity < 0.513), Rule 2 is overridden.
6. If exactly 2 mechanisms remain, eliminate Alpha transformation.
7. If NOT (sigma_density > 8), Gamma rearrangement is blocked.
8. If zeta_affinity < 5, Gamma rearrangement dominates Alpha transformation.
9. If (thermal_index > 66 OR NOT (steric_factor < 3)), Gamma rearrangement is activated.
10. If (thermal_index < 93 OR NOT (steric_factor > 0)), Delta elimination is activated.
11. If sigma_density < 4, dominance between Gamma rearrangement and Alpha transformation is reversed.","sigma_density=8, steric_factor=5, polarity=0.999, thermal_index=32, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
2057,"0. If ((sigma_density < 3 OR steric_factor < 4) OR (sigma_density > 10 OR NOT (thermal_index > 8))), Delta elimination is activated.
1. If NOT (sigma_density > 9), Alpha transformation is activated.
2. If exactly 3 mechanisms remain, eliminate Alpha transformation.
3. If exactly 1 mechanisms remain, eliminate Beta displacement.
4. If NOT (thermal_index < 68), Alpha transformation dominates Beta displacement.
5. If exactly 2 mechanisms remain, eliminate Delta elimination.
6. If exactly 2 mechanisms remain, eliminate Alpha transformation.","sigma_density=6, steric_factor=1, polarity=0.454, thermal_index=80, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2058,"0. If sigma_density < 5, Beta displacement is activated.
1. If (NOT (zeta_affinity < 3) OR NOT (polarity > 0.462)), Beta displacement is blocked.
2. If polarity < 0.779, Gamma rearrangement is activated.
3. If (NOT (polarity < 0.465) AND polarity > 0.251), Delta elimination dominates Alpha transformation.
4. If thermal_index > 60, Beta displacement dominates Delta elimination.
5. If (sigma_density < 7 AND (polarity < 0.082 OR sigma_density > 1)), Gamma rearrangement is activated.
6. If NOT (polarity < 0.191), Alpha transformation is blocked.
7. If exactly 3 mechanisms remain, eliminate Delta elimination.
8. If ((steric_factor > 4 OR sigma_density < 10) OR steric_factor < 3), dominance between Beta displacement and Gamma rearrangement is reversed.
9. If polarity > 0.256, dominance between Beta displacement and Gamma rearrangement is reversed.
10. If (zeta_affinity < 5 OR polarity < 0.993), dominance between Gamma rearrangement and Delta elimination is reversed.
11. If exactly 3 mechanisms remain, eliminate Delta elimination.","sigma_density=8, steric_factor=2, polarity=0.8, thermal_index=14, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2059,"0. If ((sigma_density < 1 AND zeta_affinity < 4) AND zeta_affinity < 10), Gamma rearrangement is blocked.
1. If ((sigma_density < 9 OR steric_factor > 5) AND polarity < 0.393), Alpha transformation dominates Delta elimination.
2. If (zeta_affinity < 10 OR (polarity > 0.242 OR NOT (thermal_index > 38))), dominance between Alpha transformation and Beta displacement is reversed.
3. If sigma_density < 4, Delta elimination is activated.
4. If (sigma_density > 1 AND NOT (polarity > 0.62)), Rule 3 is overridden.
5. If ((NOT (thermal_index > 6) OR thermal_index < 90) OR (polarity > 0.607 OR polarity < 0.632)), Gamma rearrangement dominates Beta displacement.
6. If ((zeta_affinity > 4 AND NOT (steric_factor > 4)) OR (NOT (zeta_affinity < 9) OR zeta_affinity > 6)), Alpha transformation is activated.
7. If NOT (steric_factor < 2), Delta elimination is blocked.
8. If (polarity < 0.9 AND NOT (polarity > 0.685)), dominance between Delta elimination and Beta displacement is reversed.
9. If exactly 3 mechanisms remain, eliminate Alpha transformation.
10. If ((NOT (zeta_affinity < 3) AND thermal_index > 11) OR (thermal_index > 95 AND sigma_density < 7)), Delta elimination is blocked.","sigma_density=10, steric_factor=5, polarity=0.133, thermal_index=63, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2060,"0. If (polarity > 0.688 OR sigma_density < 2), dominance between Alpha transformation and Beta displacement is reversed.
1. If (zeta_affinity > 1 AND (steric_factor < 2 AND zeta_affinity < 0)), Rule 0 is overridden.
2. If exactly 2 mechanisms remain, eliminate Delta elimination.
3. If thermal_index < 64, Alpha transformation is blocked.
4. If (steric_factor < 3 OR (thermal_index < 78 AND sigma_density > 2)), Beta displacement is activated.
5. If NOT (steric_factor < 2), Gamma rearrangement is blocked.
6. If ((steric_factor < 4 AND thermal_index < 86) OR (polarity < 0.858 AND NOT (sigma_density > 4))), Alpha transformation dominates Beta displacement.
7. If (steric_factor > 4 OR (NOT (thermal_index > 25) AND NOT (polarity > 0.536))), Gamma rearrangement is activated.
8. If ((NOT (polarity > 0.267) AND polarity > 0.986) AND (NOT (polarity > 0.846) AND sigma_density < 1)), Gamma rearrangement is activated.
9. If sigma_density > 10, dominance between Beta displacement and Delta elimination is reversed.
10. If exactly 1 mechanisms remain, eliminate Delta elimination.","sigma_density=8, steric_factor=5, polarity=0.414, thermal_index=22, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
2061,"0. If ((thermal_index < 7 OR NOT (thermal_index < 36)) OR (thermal_index > 68 OR NOT (steric_factor < 2))), Gamma rearrangement is blocked.
1. If NOT (sigma_density > 0), Rule 0 is overridden.
2. If exactly 3 mechanisms remain, eliminate Alpha transformation.
3. If (steric_factor > 1 OR (thermal_index > 55 OR sigma_density > 6)), Alpha transformation dominates Gamma rearrangement.
4. If exactly 2 mechanisms remain, eliminate Beta displacement.
5. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
6. If ((sigma_density < 1 AND polarity > 0.994) AND (zeta_affinity < 9 OR NOT (sigma_density < 2))), Delta elimination dominates Alpha transformation.
7. If sigma_density < 7, dominance between Alpha transformation and Gamma rearrangement is reversed.","sigma_density=1, steric_factor=0, polarity=0.521, thermal_index=93, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2062,"0. If ((steric_factor > 0 OR polarity > 0.328) AND (zeta_affinity > 6 AND sigma_density > 7)), Delta elimination is blocked.
1. If NOT (zeta_affinity < 10), Beta displacement is blocked.
2. If (polarity > 0.606 AND NOT (thermal_index > 30)), Alpha transformation is activated.
3. If steric_factor < 5, Alpha transformation is blocked.
4. If ((thermal_index < 10 OR NOT (polarity < 0.3)) AND (NOT (sigma_density < 6) AND NOT (sigma_density > 6))), Rule 0 is overridden.
5. If thermal_index < 0, Alpha transformation dominates Delta elimination.
6. If ((zeta_affinity > 8 AND steric_factor > 0) OR thermal_index > 2), Delta elimination dominates Gamma rearrangement.
7. If (thermal_index > 22 OR NOT (zeta_affinity > 8)), Rule 2 is overridden.","sigma_density=9, steric_factor=3, polarity=0.698, thermal_index=22, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2063,"0. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
1. If NOT (polarity < 0.823), Beta displacement is activated.
2. If ((sigma_density > 3 OR zeta_affinity < 0) AND (NOT (thermal_index > 19) OR NOT (thermal_index < 89))), Delta elimination dominates Gamma rearrangement.
3. If ((NOT (polarity > 0.185) AND sigma_density < 9) AND zeta_affinity < 7), dominance between Beta displacement and Gamma rearrangement is reversed.
4. If ((thermal_index < 32 OR steric_factor > 5) OR NOT (polarity < 0.686)), Rule 2 is overridden.
5. If exactly 2 mechanisms remain, eliminate Beta displacement.
6. If exactly 3 mechanisms remain, eliminate Alpha transformation.
7. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
8. If ((zeta_affinity < 2 AND zeta_affinity > 0) OR NOT (steric_factor < 1)), Beta displacement dominates Alpha transformation.
9. If polarity < 0.208, Rule 8 is overridden.","sigma_density=5, steric_factor=5, polarity=0.308, thermal_index=16, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2064,"0. If ((steric_factor < 1 OR zeta_affinity < 9) OR steric_factor < 5), dominance between Delta elimination and Gamma rearrangement is reversed.
1. If ((NOT (polarity < 0.831) OR NOT (steric_factor < 4)) OR thermal_index < 23), dominance between Alpha transformation and Beta displacement is reversed.
2. If (thermal_index > 45 AND steric_factor < 1), Rule 0 is overridden.
3. If (zeta_affinity > 8 AND NOT (zeta_affinity < 4)), Gamma rearrangement dominates Alpha transformation.
4. If zeta_affinity < 1, dominance between Beta displacement and Delta elimination is reversed.
5. If polarity < 0.884, dominance between Delta elimination and Alpha transformation is reversed.
6. If sigma_density < 5, dominance between Alpha transformation and Beta displacement is reversed.
7. If exactly 3 mechanisms remain, eliminate Alpha transformation.
8. If polarity > 0.892, Alpha transformation dominates Delta elimination.
9. If (sigma_density > 9 AND steric_factor > 0), Delta elimination dominates Gamma rearrangement.
10. If exactly 2 mechanisms remain, eliminate Beta displacement.","sigma_density=7, steric_factor=0, polarity=0.071, thermal_index=99, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
2065,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If (sigma_density < 5 AND NOT (polarity < 0.244)), Alpha transformation dominates Delta elimination.
2. If sigma_density > 5, Gamma rearrangement is activated.
3. If NOT (polarity < 0.456), Rule 1 is overridden.
4. If ((thermal_index > 62 OR NOT (thermal_index < 3)) AND NOT (steric_factor > 2)), Delta elimination is activated.
5. If NOT (zeta_affinity > 9), Alpha transformation is activated.
6. If ((zeta_affinity < 7 OR sigma_density < 6) OR (NOT (steric_factor < 2) AND zeta_affinity > 2)), Alpha transformation is blocked.
7. If (thermal_index < 100 OR (steric_factor > 1 OR NOT (sigma_density < 6))), dominance between Gamma rearrangement and Alpha transformation is reversed.
8. If NOT (steric_factor < 1), Gamma rearrangement is blocked.","sigma_density=10, steric_factor=5, polarity=0.617, thermal_index=13, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2067,"0. If (zeta_affinity > 2 OR polarity > 0.679), dominance between Gamma rearrangement and Delta elimination is reversed.
1. If steric_factor > 4, Delta elimination dominates Gamma rearrangement.
2. If ((NOT (steric_factor < 5) OR zeta_affinity > 5) OR zeta_affinity > 6), Rule 1 is overridden.
3. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
4. If (polarity > 0.991 AND thermal_index > 100), Alpha transformation is blocked.
5. If steric_factor < 0, Alpha transformation is blocked.
6. If (NOT (sigma_density > 0) OR zeta_affinity < 4), Alpha transformation is activated.
7. If sigma_density < 7, Rule 5 is overridden.
8. If steric_factor > 1, Beta displacement is blocked.
9. If (steric_factor > 1 AND polarity < 0.06), Delta elimination is activated.
10. If sigma_density > 8, Alpha transformation is blocked.
11. If NOT (thermal_index > 38), Delta elimination is activated.","sigma_density=10, steric_factor=3, polarity=0.716, thermal_index=21, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2071,"0. If ((thermal_index < 42 AND zeta_affinity < 7) AND (thermal_index > 53 AND steric_factor > 4)), dominance between Beta displacement and Alpha transformation is reversed.
1. If (NOT (polarity > 0.013) AND NOT (sigma_density > 7)), Alpha transformation is activated.
2. If steric_factor > 3, dominance between Beta displacement and Delta elimination is reversed.
3. If exactly 1 mechanisms remain, eliminate Delta elimination.
4. If (sigma_density > 4 OR (NOT (sigma_density > 7) OR zeta_affinity < 3)), Gamma rearrangement is activated.
5. If ((NOT (sigma_density > 8) OR NOT (polarity > 0.147)) OR (sigma_density > 8 AND sigma_density < 0)), Alpha transformation dominates Delta elimination.
6. If ((steric_factor > 4 OR NOT (polarity > 0.392)) OR (NOT (polarity > 0.231) OR steric_factor < 1)), dominance between Gamma rearrangement and Beta displacement is reversed.
7. If exactly 2 mechanisms remain, eliminate Beta displacement.
8. If polarity < 0.819, Gamma rearrangement is activated.
9. If polarity > 0.829, Rule 2 is overridden.
10. If NOT (sigma_density < 7), Beta displacement is activated.","sigma_density=10, steric_factor=0, polarity=0.069, thermal_index=90, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
2072,"0. If (sigma_density < 0 OR NOT (polarity > 0.657)), Gamma rearrangement is blocked.
1. If ((NOT (zeta_affinity > 0) OR NOT (sigma_density < 5)) AND (NOT (polarity < 0.366) AND thermal_index > 54)), Alpha transformation is activated.
2. If ((polarity < 0.651 OR sigma_density > 3) AND polarity > 0.85), Delta elimination is activated.
3. If NOT (polarity < 0.248), Rule 0 is overridden.
4. If sigma_density < 10, dominance between Delta elimination and Alpha transformation is reversed.
5. If ((thermal_index < 59 AND zeta_affinity > 4) OR steric_factor < 4), dominance between Gamma rearrangement and Delta elimination is reversed.
6. If exactly 2 mechanisms remain, eliminate Beta displacement.
7. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=1, steric_factor=5, polarity=0.523, thermal_index=58, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
2073,"0. If sigma_density > 5, Delta elimination dominates Gamma rearrangement.
1. If ((sigma_density < 1 OR polarity > 0.113) OR polarity > 0.563), Alpha transformation dominates Delta elimination.
2. If polarity < 0.486, Alpha transformation is activated.
3. If steric_factor < 3, Alpha transformation is activated.
4. If ((NOT (steric_factor < 1) AND thermal_index < 61) OR (sigma_density > 9 AND NOT (thermal_index < 58))), dominance between Delta elimination and Gamma rearrangement is reversed.
5. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
6. If ((sigma_density > 5 OR zeta_affinity < 1) AND thermal_index < 3), Alpha transformation is blocked.
7. If exactly 2 mechanisms remain, eliminate Beta displacement.
8. If steric_factor > 5, Beta displacement is activated.
9. If ((zeta_affinity > 5 OR sigma_density < 1) OR NOT (zeta_affinity < 7)), dominance between Alpha transformation and Gamma rearrangement is reversed.
10. If ((NOT (steric_factor < 3) AND sigma_density > 6) AND thermal_index > 46), Gamma rearrangement dominates Beta displacement.
11. If (polarity < 0.748 AND (zeta_affinity < 7 AND NOT (steric_factor < 0))), Beta displacement dominates Gamma rearrangement.","sigma_density=0, steric_factor=1, polarity=0.534, thermal_index=81, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
2074,"0. If steric_factor < 5, Beta displacement is blocked.
1. If (sigma_density > 10 AND polarity < 0.608), dominance between Delta elimination and Beta displacement is reversed.
2. If exactly 1 mechanisms remain, eliminate Delta elimination.
3. If thermal_index < 87, Gamma rearrangement is blocked.
4. If ((sigma_density > 10 AND NOT (sigma_density > 10)) OR steric_factor < 1), Rule 3 is overridden.
5. If polarity > 0.267, Delta elimination dominates Beta displacement.
6. If polarity > 0.448, Beta displacement is blocked.
7. If NOT (zeta_affinity > 6), Delta elimination is blocked.","sigma_density=3, steric_factor=5, polarity=0.797, thermal_index=19, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
2075,"0. If (polarity > 0.81 AND (polarity > 0.713 OR thermal_index > 32)), Delta elimination is activated.
1. If exactly 1 mechanisms remain, eliminate Alpha transformation.
2. If sigma_density < 6, Gamma rearrangement is blocked.
3. If exactly 2 mechanisms remain, eliminate Delta elimination.
4. If (NOT (thermal_index < 22) AND NOT (zeta_affinity > 10)), Gamma rearrangement dominates Alpha transformation.
5. If zeta_affinity < 6, Alpha transformation is blocked.
6. If steric_factor > 4, Alpha transformation is blocked.
7. If exactly 1 mechanisms remain, eliminate Alpha transformation.
8. If exactly 3 mechanisms remain, eliminate Alpha transformation.
9. If (NOT (steric_factor > 4) OR sigma_density < 2), Rule 6 is overridden.
10. If exactly 2 mechanisms remain, eliminate Beta displacement.
11. If zeta_affinity > 3, Rule 10 is overridden.","sigma_density=1, steric_factor=1, polarity=0.331, thermal_index=27, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
2076,"0. If (NOT (polarity < 0.446) OR sigma_density < 6), dominance between Delta elimination and Beta displacement is reversed.
1. If exactly 2 mechanisms remain, eliminate Beta displacement.
2. If exactly 2 mechanisms remain, eliminate Delta elimination.
3. If NOT (polarity > 0.071), Gamma rearrangement dominates Delta elimination.
4. If NOT (steric_factor < 5), Alpha transformation dominates Delta elimination.
5. If ((NOT (polarity < 0.703) AND steric_factor > 1) OR (polarity < 0.298 OR steric_factor > 0)), Alpha transformation is blocked.
6. If (polarity < 0.583 OR NOT (thermal_index < 18)), Alpha transformation is blocked.
7. If ((polarity > 0.491 AND zeta_affinity < 10) OR sigma_density > 9), Delta elimination is blocked.
8. If exactly 1 mechanisms remain, eliminate Delta elimination.","sigma_density=1, steric_factor=4, polarity=0.386, thermal_index=34, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
